ST,NG-STAR_CC
681,84
682,606
683,1958
684,567
685,3165
686,190
687,3035
688,84
689,142
690,1958
691,845
692,2060
693,124
694,Ungroupable
695,688
696,127
697,127
698,182
699,3035
700,127
701,501
702,142
705,142
706,127
707,896
708,1271
709,90
710,348
713,20
714,20
715,732
716,1958
717,63
718,606
719,427
720,90
721,Ungroupable
722,20
723,20
724,1958
725,20
726,4353
727,158
728,3586
729,3087
730,20
731,190
732,732
733,2047
734,Ungroupable
735,564
736,84
737,3597
738,3087
739,127
740,464
741,239
743,309
744,124
745,1115
746,896
747,239
748,345
749,20
750,352
751,5513
752,896
753,754
754,754
755,754
758,90
769,309
774,84
776,1054
777,178
778,426
779,426
780,73
783,124
798,73
801,4353
803,442
806,240
810,63
827,1608
828,73
829,754
830,4707
831,247
832,3035
833,1271
836,1664
837,1958
838,84
839,439
840,754
841,20
842,754
843,754
844,845
845,845
846,3087
847,2883
848,2028
849,1632
850,20
851,20
852,20
853,90
854,127
855,348
856,3035
857,90
858,26
859,352
860,63
861,1603
862,352
863,352
864,1958
865,1958
866,178
867,3087
868,872
869,1096
870,309
871,309
872,3311
873,3311
874,567
875,567
876,309
877,309
878,872
879,309
880,886
881,57
882,63
883,63
884,63
885,830
886,4825
887,384
888,426
889,199
890,426
891,896
892,896
893,1958
894,1632
895,73
896,896
897,427
898,427
899,606
900,73
901,830
902,55
903,63
904,213
905,1401
906,Ungroupable
907,2467
908,63
909,199
910,199
911,190
912,3111
913,190
914,190
915,1958
916,1958
917,352
918,404
919,199
920,199
921,90
922,90
923,90
924,90
925,90
926,90
927,127
928,139
929,514
930,158
931,158
932,158
933,158
934,124
935,124
936,127
937,124
938,124
939,129
940,127
941,124
942,124
943,182
944,1526
945,1526
946,1526
947,Ungroupable
948,233
949,949
950,271
951,90
952,90
953,158
954,63
955,307
956,3087
957,51
958,958
959,63
960,958
961,395
962,20
963,20
964,20
965,63
966,4353
967,3311
968,248
969,968
970,968
971,567
972,845
973,2047
974,2047
975,Ungroupable
976,3564
977,845
978,1958
979,1771
980,1271
981,738
982,442
983,63
984,352
985,90
986,158
987,182
988,352
989,104
990,190
991,1958
992,190
993,710
994,90
995,55
996,73
997,90
998,151
999,90
1000,1254
1001,90
1002,345
1003,426
1004,896
1005,3087
1006,4353
1007,442
1008,127
1009,90
1010,309
1011,38
1012,90
1013,433
1014,90
1015,90
1016,3111
1017,42
1018,90
1019,90
1020,289
1021,42
1022,178
1023,1024
1024,1024
1025,124
1026,442
1027,73
1028,307
1029,1061
1030,3420
1031,3420
1032,63
1033,754
1034,213
1035,270
1036,270
1037,158
1038,1038
1039,168
1040,168
1041,168
1042,168
1043,168
1044,168
1045,90
1046,1061
1047,2257
1049,436
1050,124
1051,1271
1052,567
1053,3035
1054,1054
1055,428
1056,2778
1057,1061
1058,124
1059,158
1060,1061
1061,1061
1062,1061
1063,90
1064,42
1065,42
1066,63
1067,1061
1068,3111
1069,1958
1070,42
1071,3087
1072,237
1073,4960
1074,1958
1075,20
1076,2586
1077,1077
1078,1958
1079,1958
1080,1958
1081,352
1082,1958
1083,4960
1084,1117
1085,343
1086,599
1087,520
1088,237
1089,288
1090,2980
1091,1418
1092,1271
1093,352
1094,352
1095,1771
1096,309
1097,309
1098,4758
1099,42
1100,1179
1101,38
1102,199
1103,199
1104,428
1105,124
1106,124
1107,199
1108,199
1109,127
1110,199
1111,2351
1112,2351
1113,17
1114,17
1115,1115
1116,190
1117,190
1118,199
1119,1115
1120,190
1121,3112
1122,2146
1123,213
1124,1124
1125,1890
1126,3574
1127,158
1128,352
1129,1271
1130,90
1131,1664
1132,1054
1133,199
1134,427
1135,348
1136,Ungroupable
1137,199
1138,2473
1139,427
1140,2336
1141,428
1142,1118
1143,233
1144,1118
1145,348
1146,90
1147,1216
1148,199
1149,1118
1150,1687
1151,38
1152,127
1153,Ungroupable
1154,732
1155,3292
1156,Ungroupable
1157,1118
1158,2337
1159,348
1160,2336
1161,199
1162,348
1163,Ungroupable
1164,497
1165,199
1166,348
1167,428
1168,2480
1169,436
1170,348
1171,90
1172,Ungroupable
1173,1118
1174,3297
1175,501
1176,3336
1177,1157
1178,199
1179,199
1180,2288
1181,199
1182,1687
1183,199
1184,348
1185,199
1186,Ungroupable
1187,2473
1188,348
1189,2430
1190,199
1191,221
1192,2336
1193,199
1194,2467
1195,501
1196,90
1197,199
1198,1687
1199,497
1200,606
1201,949
1202,719
1203,427
1204,427
1205,4688
1206,958
1207,1096
1208,2753
1209,561
1210,1271
1211,309
1212,3613
1213,2098
1214,124
1215,3586
1216,38
1217,199
1218,3035
1219,158
1220,1340
1221,231
1222,346
1223,309
1224,896
1225,38
1226,2069
1227,1885
1228,433
1229,348
1230,309
1231,231
1232,348
1233,158
1234,896
1235,127
1236,2069
1237,1885
1238,433
1239,127
1240,348
1241,1096
1242,309
1243,319
1244,343
1245,2047
1246,348
1247,1603
1248,Ungroupable
1249,309
1250,433
