Sequence Type,NG-STAR_CC
1111,221
1112,2351
1113,1430
1114,1430
1115,1115
1116,190
1117,390
1118,199
1119,1115
1120,390
1121,190
1122,2146
1123,213
1124,426
1125,1634
1126,559
1127,158
1128,352
1129,1271
1130,90
1131,1664
1132,1054
1133,199
1134,427
1135,348
1136,Ungroupable
1137,428
1138,2473
1139,426
1140,2441
1141,501
1142,1687
1143,199
1144,1118
1145,348
1146,90
1147,73
1148,199
1149,1118
1150,1687
1151,38
1152,127
1153,Ungroupable
1154,732
1155,2441
1156,Ungroupable
1157,199
1158,2337
1159,348
1160,2441
1161,199
1162,348
1163,Ungroupable
1164,497
1165,199
1166,348
1167,1695
1168,2480
1169,426
1170,348
1171,90
1172,Ungroupable
1173,1118
1174,Ungroupable
1175,501
1176,38
1177,1157
1178,199
1179,199
1180,2288
1181,199
1182,1687
1183,199
1184,348
1185,199
1186,Ungroupable
1187,Ungroupable
1188,348
1189,2442
1190,1687
1191,221
1192,2441
1193,199
1194,1229
1195,428
1196,90
1197,199
1198,1687
1199,497
1200,559
1201,949
1202,714
1203,426
1204,426
1205,Ungroupable
1206,958
1207,1096
1208,2753
1209,561
1210,1271
1211,247
1212,3470
1213,2098
1214,124
1215,1215
1216,38
1217,199
1218,137
1219,158
1220,1340
1221,231
1222,3311
1223,309
1224,2209
1225,38
1226,2069
1227,1885
1228,271
1229,348
1230,309
1231,1096
1232,348
1233,158
1234,127
1235,127
1236,348
1237,3574
1238,1096
1239,127
1240,1236
1241,1096
1242,309
1243,319
1244,Ungroupable
1245,754
1246,348
1247,1586
1248,1771
1249,247
1250,271
1251,213
1252,63
1253,1254
1254,73
1255,1771
1256,426
1257,891
1258,90
1259,90
1260,949
1261,2720
1262,1771
1263,158
1264,199
1265,Ungroupable
1266,426
1267,20
1268,1038
1269,42
1270,426
1271,1771
1272,Ungroupable
1273,182
1274,2962
1275,1771
1276,3087
1277,455
1278,Ungroupable
1279,38
1280,2717
1281,190
1282,271
1283,1586
1284,1271
1285,606
1286,3574
1287,714
1288,38
1289,73
1290,Ungroupable
1291,55
1292,1771
1293,271
1294,559
1295,1958
1296,309
1297,732
1298,2028
1299,732
1300,426
1301,3311
1302,38
1303,426
1304,309
1305,158
1306,199
1307,3574
1308,801
1309,949
1310,212
1311,1665
1312,309
1313,309
1314,Ungroupable
1315,271
1316,1695
1317,20
1318,229
1319,271
1320,2209
1321,1771
1322,409
1323,1771
1324,199
1325,20
1326,309
1327,137
1328,271
1329,38
