Sequence Type,NG-STAR_CC
2788,Ungroupable
2789,2351
2790,199
2791,345
2792,127
2793,199
2794,38
2795,1695
2796,477
2797,1118
2798,38
2799,3129
2800,38
2801,1055
2802,1687
2803,247
2804,2351
2805,38
2806,1687
2807,38
2808,2336
2809,2288
2810,2351
2811,38
2812,127
2813,127
2814,73
2815,73
2816,1387
2817,142
2818,390
2819,2035
2820,42
2821,63
2822,Ungroupable
2823,Ungroupable
2824,231
2825,426
2826,1401
2827,352
2828,288
2829,567
2830,63
2831,359
2832,127
2833,1997
2834,2028
2835,390
2836,893
2837,Ungroupable
2838,352
2839,1645
2840,2838
2841,390
2842,893
2843,1340
2844,3111
2845,1958
2846,90
2847,178
2848,247
2849,2146
2850,127
2851,309
2852,124
2853,158
2854,20
2855,63
2856,190
2857,20
2858,63
2859,38
2860,207
2861,2047
2862,63
2863,471
2864,810
2865,63
2866,90
2867,90
2868,124
2869,47
2870,Ungroupable
2871,426
2872,404
2873,237
2874,2889
2875,1340
2876,127
2877,352
2878,Ungroupable
2879,53
2880,309
2881,1340
2882,1340
2883,199
2884,168
2885,63
2886,949
2887,362
2888,Ungroupable
2889,442
2890,38
2891,124
2892,309
2893,Ungroupable
2894,1038
2895,2441
2896,38
2897,1460
2898,426
2899,168
2900,442
2901,168
2902,168
2903,20
2904,390
2905,20
2906,63
2907,63
2908,168
2909,63
2910,63
2911,845
2912,Ungroupable
2913,301
2914,63
2915,893
2916,442
2917,442
2918,442
2919,442
2920,442
2921,63
2922,55
2923,442
2924,63
2925,213
2926,55
2927,55
2928,63
2929,190
2930,55
2931,127
2932,1819
2933,1938
2934,168
2935,63
2936,426
2937,539
2938,213
2939,63
2940,63
2941,63
2942,845
2943,442
2944,213
2945,63
2946,63
2947,63
2948,63
2949,63
2950,63
2951,63
2952,63
2953,63
2954,63
2955,63
2956,63
2957,63
2958,63
2959,63
2960,63
2961,63
2962,63
2963,63
2964,264
2965,533
2966,239
2967,1458
2968,190
2969,426
2970,426
2971,426
2972,395
2973,137
2974,1958
2975,55
2976,390
2977,1958
2978,2976
2979,1958
2980,1958
2981,1387
2982,73
2983,73
2984,73
2985,1804
2986,427
2987,73
2988,1958
2989,426
2990,426
2991,426
2992,426
2993,426
2994,2976
2995,426
2996,719
2997,427
2998,38
2999,625
3000,63
3001,467
3002,137
3003,426
3004,1387
3005,1387
3006,124
3007,124
3008,267
3009,127
3010,124
3011,267
3012,124
3013,124
3014,124
3015,199
3016,1387
3017,1387
3018,1387
3019,1387
3020,124
3021,1387
3022,124
3023,124
3024,124
3025,151
3026,124
3027,137
3028,137
3029,3031
3030,3031
3031,137
3032,137
3033,1281
3034,1281
3035,442
3036,142
3037,137
3038,142
3039,137
3040,137
3041,137
3042,390
3043,390
3044,390
3045,1281
3046,2580
3047,190
3048,2580
3049,1958
3050,190
3051,190
3052,ung
3053,2580
3054,63
3055,213
3056,63
3057,677
3058,3087
3059,390
3060,63
3061,63
3062,38
3063,38
3064,38
3065,1179
3066,38
3067,1021
3068,42
3069,395
3070,442
3071,442
3072,42
3073,1021
3074,1021
3075,1021
3076,352
3077,267
3078,269
3079,442
3080,178
3081,352
3082,38
3083,137
3084,137
3085,137
3086,3087
3087,1958
3088,1387
3089,1387
3090,501
3091,501
3092,501
3093,501
3094,309
3095,390
3096,1958
3097,190
3098,53
3099,309
3100,309
3101,309
3102,871
3103,309
3104,2351
3105,247
3106,3311
3107,190
3108,390
3109,20
3110,63
3111,190
3112,20
3113,190
3114,1115
3115,1115
3116,1115
3117,1115
3118,390
3119,390
3120,390
3121,390
3122,190
3123,190
3124,190
3125,190
3126,390
3127,390
3128,90
3129,90
3130,1771
3131,390
3132,239
3133,3111
3134,85
3135,3111
3136,182
3137,311
3138,142
3139,90
3140,1925
3141,1925
3142,38
3143,1804
3144,426
3145,1938
3146,426
3147,2337
3148,426
3149,1340
3150,1489
3151,158
3152,1387
3153,158
3154,158
3155,158
3156,158
3157,158
3158,158
3159,158
3160,931
3161,158
3162,419
3163,3165
3164,3165
3165,3165
3166,3165
3167,1958
3168,3641
3169,Ungroupable
3170,63
3171,442
3172,63
3173,137
3174,1115
3175,1115
3176,949
3177,84
3178,1271
3179,Ungroupable
3180,1864
3181,1360
3182,1771
3183,1771
3184,1271
3185,1271
3186,1771
3187,Ungroupable
3188,137
3189,63
3190,168
3191,Ungroupable
3192,168
3193,1038
3194,168
3195,1038
3196,801
3197,1387
3198,213
3199,810
3200,240
3201,404
3202,53
3203,Ungroupable
3204,90
3205,Ungroupable
3206,Ungroupable
3207,1236
3208,1236
3209,348
3210,348
3211,348
3212,319
3213,1229
3214,487
3215,20
3216,22
3217,1151
3218,127
3219,90
3220,2687
3221,2288
3222,1687
3223,2351
3224,73
3225,2352
3226,501
3227,1687
3228,2758
3229,1687
3230,90
3231,124
3232,515
3233,501
3234,Ungroupable
3235,345
3236,Ungroupable
3237,73
3238,127
3239,127
3240,497
3241,38
3242,2244
3243,199
3244,2441
3245,73
3246,260
3247,199
3248,390
3249,1687
3250,199
3251,1055
3252,428
3253,199
3254,186
3255,73
3256,260
3257,1687
3258,3348
3259,348
3260,348
3261,3589
3262,73
3263,73
3264,127
3265,127
3266,199
3267,3336
3268,38
3269,1115
3270,127
3271,73
3272,2288
3273,1468
3274,426
3275,Ungroupable
3276,3311
3277,501
3278,1096
3279,1055
3280,73
3281,428
3282,309
3283,304
3284,426
3285,1157
3286,1118
3287,124
3288,2209
3289,1118
3290,3292
3291,247
3292,199
3293,199
3294,514
3295,1687
3296,929
3297,73
3298,124
3299,73
3300,426
3301,2336
3302,199
3303,348
3304,653
3305,38
3306,1468
3307,307
3308,714
3309,38
3310,1340
3311,3311
3312,309
3313,90
3314,38
3315,2778
3316,63
3317,2028
3318,1096
3319,352
3320,158
3321,73
3322,1266
3323,714
3324,127
3325,2467
3326,124
3327,1021
3328,1422
3329,352
3330,20
3331,158
3332,90
3333,426
3334,2247
3335,1818
3336,90
3337,1818
3338,231
3339,124
3340,Ungroupable
3341,Ungroupable
3342,1641
3343,264
3344,426
3345,Ungroupable
3346,1118
3347,42
3348,309
3349,348
3350,63
3351,1687
3352,3574
3353,3574
3354,359
3355,2287
3356,559
3357,311
3358,1096
3359,Ungroupable
3360,2287
3361,Ungroupable
3362,Ungroupable
3363,1586
3364,42
3365,42
3366,51
3367,1054
3368,1223
3369,309
3370,247
3371,Ungroupable
3372,90
3373,3574
3374,3574
3375,309
3376,309
3377,3574
3378,384
3379,309
3380,3574
3381,606
3382,3574
3383,3574
3384,567
3385,3377
3386,567
3387,567
3388,426
3389,426
3390,63
3391,426
3392,2351
3393,1223
3394,606
3395,247
3396,426
3397,352
3398,426
3399,309
3400,264
3401,247
3402,124
3403,271
3404,577
3405,42
3406,309
3407,1271
3408,309
3409,1771
3410,1958
3411,1362
3412,1749
3413,1771
3414,1635
3415,463
3416,288
3417,1654
3418,162
3419,1818
3420,63
3421,1818
3422,1387
3423,124
3424,1387
3425,958
3426,958
3427,958
3428,958
3429,1654
3430,1627
3431,931
3432,352
3433,157
3434,20
3435,1096
3436,42
3437,352
3438,Ungroupable
3439,3001
3440,3458
3441,2211
3442,3574
3443,309
3444,248
3445,309
3446,309
3447,309
3448,455
3449,42
3450,1105
3451,352
3452,3574
3453,893
3454,1771
3455,390
3456,1054
3457,309
3458,352
3459,248
3460,442
3461,3574
3462,1958
3463,1586
3464,42
3465,958
3466,352
3467,289
3468,1958
3469,1771
3470,309
3471,240
3472,Ungroupable
3473,309
3474,455
3475,268
3476,Ungroupable
3477,309
3478,42
3479,3574
3480,309
3481,352
3482,Ungroupable
3483,893
3484,352
3485,309
3486,63
3487,1526
3488,137
3489,42
3490,190
3491,Ungroupable
3492,Ungroupable
3493,1282
3494,1387
3495,714
3496,862
3497,1645
3498,1645
3499,Ungroupable
3500,1266
3501,1387
3502,1645
3503,309
3504,1054
3505,1054
3506,439
3507,3574
3508,3574
3509,1105
3510,42
3511,352
3512,1958
3513,1132
3514,309
3515,1645
3516,1973
3517,1096
3518,352
3519,309
3520,393
3521,390
3522,1606
3523,199
3524,217
3525,90
3526,1126
3527,348
3528,124
3529,73
3530,1340
3531,1340
3532,390
3533,Ungroupable
3534,393
3535,448
3536,432
3537,348
3538,319
3539,348
3540,127
3541,Ungroupable
3542,319
3543,1340
3544,1340
3545,1021
3546,875
3547,Ungroupable
3548,Ungroupable
3549,1031
3550,3390
3551,309
3552,20
3553,20
3554,20
3555,20
3556,20
3557,20
3558,20
3559,20
3560,20
3561,20
3562,442
3563,442
3564,442
3565,442
3566,63
3567,63
3568,63
3569,893
3570,Ungroupable
3571,55
3572,3390
3573,63
3574,3574
3575,63
3576,442
3577,3574
3578,63
3579,301
3580,63
3581,168
3582,63
3583,63
3584,442
3585,3001
3586,127
3587,73
3588,2209
3589,427
3590,3589
3591,426
3592,231
3593,271
3594,Ungroupable
3595,1958
3596,714
3597,1958
3598,891
3599,714
3600,719
3601,426
3602,1804
3603,73
3604,426
3605,2018
3606,213
3607,213
3608,442
3609,168
3610,442
3611,625
3612,124
3613,1387
3614,124
3615,1387
3616,1387
3617,142
3618,561
3619,Ungroupable
3620,Ungroupable
3621,63
3622,25
3623,1229
3624,348
3625,348
3626,1601
3627,26
3628,426
3629,26
3630,124
3631,442
3632,63
3633,38
3634,38
3635,2277
3636,1387
3637,127
3638,37
3639,38
3640,801
3641,352
3642,352
3643,801
3644,38
3645,1362
3646,1586
3647,264
3648,1021
3649,Ungroupable
3650,Ungroupable
3651,178
3652,178
3653,124
3654,3087
3655,3087
3656,3087
3657,3087
3658,3087
3659,1430
3660,3087
3661,3087
3662,1883
3663,428
3664,875
3665,Ungroupable
3666,628
3667,309
3668,309
3669,247
3670,247
3671,426
3672,426
3673,271
3674,271
3675,Ungroupable
3676,1973
3677,Ungroupable
3678,309
3679,3311
3680,1096
3681,719
3682,271
3683,271
3684,2028
3685,390
3686,3111
3687,352
3688,90
3689,168
3690,90
3691,426
3692,1641
3693,1340
3694,1340
3695,933
3696,158
3697,158
3698,158
3699,158
3700,248
3701,231
3702,543
3703,1115
3704,124
3705,592
3706,Ungroupable
3707,426
3708,307
3709,1038
3710,1038
3711,182
3712,231
3713,17
3714,436
3715,567
3716,2473
3717,260
3718,2035
3719,158
3720,Ungroupable
3721,20
3722,Ungroupable
3723,309
3724,442
3725,63
3726,90
3727,1387
3728,1340
3729,63
3730,199
3731,168
3732,213
3733,90
3734,3087
3735,213
3736,1615
3737,1958
3738,409
3739,470
3740,470
3741,73
3742,73
3743,73
3744,73
3745,73
3746,898
3747,73
3748,497
3749,199
3750,199
3751,199
3752,124
3753,199
3754,199
3755,199
3756,199
3757,199
3758,127
3759,477
3760,348
3761,199
3762,Ungroupable
3763,348
3764,348
3765,1606
3766,1464
3767,348
3768,127
3769,26
3770,1179
3771,2288
3772,3336
3773,1696
3774,1696
3775,1696
3776,1696
3777,2433
3778,2433
3779,1696
3780,1707
3781,Ungroupable
3782,2433
3783,2351
3784,199
3785,199
3786,199
3787,127
3788,428
3789,2244
3790,2288
3791,1695
3792,1695
3793,1695
3794,90
3795,428
3796,428
3797,428
3798,3788
3799,2275
3800,428
3801,428
3802,2257
3803,501
3804,2778
3805,428
3806,3788
3807,2351
3808,1096
3809,1687
3810,1463
3811,1687
3812,1687
3813,1687
3814,Ungroupable
3815,1157
3816,38
3817,1118
3818,1157
3819,1157
3820,1157
3821,909
3822,Ungroupable
3823,1900
3824,2477
3825,514
3826,73
3827,345
3828,199
3829,90
3830,345
3831,345
3832,345
3833,2457
3834,2457
3835,3831
3836,958
3837,233
3838,Ungroupable
3839,2435
3840,127
3841,1463
3842,1463
3843,3788
3844,199
